date;category;value
2021-11-28;Винные магазины;5.7884007
2021-11-21;Винные магазины;5.6219025
2021-11-14;Винные магазины;5.0760617
2021-11-07;Винные магазины;4.8048577
2021-10-31;Винные магазины;5.724891
2021-10-24;Винные магазины;5.8192973
2021-10-17;Винные магазины;5.685412
2021-10-10;Винные магазины;5.627052
2021-10-03;Винные магазины;6.0527387
2021-09-26;Винные магазины;6.2329693
2021-09-19;Винные магазины;6.634626
2021-09-12;Винные магазины;6.7805266
2021-09-05;Винные магазины;6.9676228
2021-08-29;Винные магазины;7.092926
2021-08-22;Винные магазины;7.139271
2021-08-15;Винные магазины;7.2336774
2021-08-08;Винные магазины;7.0912094
2021-08-01;Винные магазины;7.036282
2021-07-25;Винные магазины;6.93501
2021-07-18;Винные магазины;6.9384427
2021-07-11;Винные магазины;6.6123114
2021-07-04;Винные магазины;6.950458
2021-06-27;Винные магазины;6.765078
2021-06-20;Винные магазины;6.4887247
2021-06-13;Винные магазины;6.1900573
2021-06-06;Винные магазины;6.236402
2021-05-30;Винные магазины;5.9119873
2021-05-23;Винные магазины;5.6510825
2021-05-16;Винные магазины;5.1790504
2021-05-09;Винные магазины;-7.038857
2021-05-02;Винные магазины;5.4502544
2021-04-25;Винные магазины;3.908855
2021-04-18;Винные магазины;3.479735
2021-04-11;Винные магазины;2.8669512
2021-04-04;Винные магазины;2.4258158
2021-03-28;Винные магазины;1.9898299
2021-03-21;Винные магазины;1.4989165
2021-03-14;Винные магазины;1.0800953
2021-03-07;Винные магазины;1.2637587
2021-02-28;Винные магазины;0.5342545
2021-02-21;Винные магазины;0.5273886
2021-02-14;Винные магазины;-0.34115046
2021-02-07;Винные магазины;-0.7204926
2025-07-06;Винные магазины;33.743
2025-06-29;Винные магазины;33.360226
2025-06-22;Винные магазины;33.66919
2025-06-15;Винные магазины;34.180702
2025-06-08;Винные магазины;33.823673
2025-06-01;Винные магазины;32.53975
2025-05-25;Винные магазины;32.517433
2025-05-18;Винные магазины;31.902933
2025-05-11;Винные магазины;31.54762
2025-05-04;Винные магазины;31.434334
2025-04-27;Винные магазины;30.677366
2025-04-20;Винные магазины;28.991783
2025-04-13;Винные магазины;28.449375
2025-04-06;Винные магазины;27.498444
2025-03-30;Винные магазины;27.587702
2025-03-23;Винные магазины;27.599716
2025-03-16;Винные магазины;27.495012
2025-03-09;Винные магазины;27.71987
2025-03-02;Винные магазины;28.179888
2025-02-23;Винные магазины;27.62718
2025-02-16;Винные магазины;28.136974
2025-02-09;Винные магазины;27.192911
2025-02-02;Винные магазины;27.776514
2025-01-26;Винные магазины;27.573969
2025-01-19;Винные магазины;27.63233
2025-01-12;Винные магазины;26.605875
2025-01-05;Винные магазины;27.709572
2024-12-29;Винные магазины;29.501577
2024-12-22;Винные магазины;27.61345
2024-12-15;Винные магазины;27.625463
2024-12-08;Винные магазины;26.482288
2024-12-01;Винные магазины;26.794687
2025-07-06;Канцтовары;-7.0871334
2025-06-29;Канцтовары;-6.8761673
2025-06-22;Канцтовары;-6.392704
2025-06-15;Канцтовары;-8.607845
2025-06-08;Канцтовары;-5.821338
2025-06-01;Канцтовары;-6.348753
2025-05-25;Канцтовары;-4.79288
2025-05-18;Канцтовары;-5.258763
2025-05-11;Канцтовары;-8.704538
2025-05-04;Канцтовары;-8.089221
2025-04-27;Канцтовары;-5.118119
2025-04-20;Канцтовары;-6.6739917
2025-04-13;Канцтовары;-6.7355237
2025-04-06;Канцтовары;-7.2717285
2022-10-30;Канцтовары;-3.535875
2022-10-23;Канцтовары;-3.2457972
2022-10-16;Канцтовары;-3.1051533
2022-10-09;Канцтовары;-2.7887046
2022-10-02;Канцтовары;-2.7799144
2022-09-25;Канцтовары;-2.2349193
2022-09-18;Канцтовары;-0.89880234
2022-09-11;Канцтовары;0.595539
2022-09-04;Канцтовары;2.8194704
2022-08-28;Канцтовары;-0.37138775
2022-08-21;Канцтовары;-1.6987144
2022-08-14;Канцтовары;-2.9645095
2022-08-07;Канцтовары;-4.116031
2022-07-31;Канцтовары;-5.15328
2022-07-24;Канцтовары;-5.4257774
2022-07-17;Канцтовары;-5.733436
2022-07-10;Канцтовары;-6.2256894
2022-07-03;Канцтовары;-5.337875
2022-06-26;Канцтовары;-4.1248217
2022-06-19;Канцтовары;-4.3006263
2022-06-12;Канцтовары;-3.1491046
2022-06-05;Канцтовары;-2.155807
2022-05-29;Канцтовары;-0.88122183
2022-05-22;Канцтовары;-0.20437315
2022-05-15;Канцтовары;-3.0524118
2022-05-08;Канцтовары;-3.5886166
2022-05-01;Канцтовары;-0.14284144
2022-04-24;Канцтовары;0.2790902
2022-04-17;Канцтовары;1.105373
2022-04-10;Канцтовары;0.8944072
2022-04-03;Канцтовары;1.0262609
2022-03-27;Канцтовары;3.1095483
2022-03-20;Канцтовары;3.135919
2022-03-13;Канцтовары;0.4988463
2022-03-06;Канцтовары;3.056807
2022-02-27;Канцтовары;2.3799582
2022-02-20;Канцтовары;3.4875288
2022-02-13;Канцтовары;2.5293925
2022-02-06;Канцтовары;1.5273046
2022-01-30;Канцтовары;1.9492364
2022-01-23;Канцтовары;2.8194704
2022-01-16;Канцтовары;3.1622899
2022-01-09;Канцтовары;-10.506537
2022-01-02;Канцтовары;3.566641
2021-12-26;Канцтовары;5.4213824
2021-12-19;Канцтовары;6.089441
2021-12-12;Канцтовары;4.762114
2021-12-05;Канцтовары;4.032524
2021-11-28;Канцтовары;3.4787385
2021-11-21;Канцтовары;3.5842216
2021-11-14;Канцтовары;2.3535876
2021-11-07;Канцтовары;-21.520712
2021-10-31;Канцтовары;-0.40654874
2021-10-24;Канцтовары;2.8282607
2021-10-17;Канцтовары;3.0304363
2021-10-10;Канцтовары;3.0831776
2021-10-03;Канцтовары;4.181958
2021-09-26;Канцтовары;4.507197
2021-09-19;Канцтовары;5.2719483
2021-09-12;Канцтовары;6.652016
2021-09-05;Канцтовары;8.788045
2021-08-29;Канцтовары;6.43226
2021-08-22;Канцтовары;4.683002
2021-08-15;Канцтовары;3.8391385
2021-08-08;Канцтовары;3.0655973
2021-08-01;Канцтовары;-0.3362268
2021-07-25;Канцтовары;-0.7493682
2021-07-18;Канцтовары;-1.1537194
2021-07-11;Канцтовары;-2.3931437
2021-07-04;Канцтовары;-1.9096802
